[2025-08-19 07:33:59,808: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:33:59,989: ERROR: multi: 
1 Failed download:]
[2025-08-19 07:33:59,989: ERROR: multi: ['APPL']: YFPricesMissingError('possibly delisted; no price data found  (1d 2020-01-01 -> 2025-08-19)')]
[2025-08-19 07:33:59,989: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:34:09,620: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:34:09,891: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:34:09,892: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:34:09,893: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:34:09,894: INFO: __init__: Data Presentation Begins]
[2025-08-19 07:34:09,906: INFO: __init__: Data Presentation Completed]
[2025-08-19 07:40:03,532: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:40:04,648: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:40:04,648: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:40:04,648: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:40:13,817: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:40:14,082: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:40:14,083: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:40:14,084: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:41:04,565: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:41:05,885: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:41:05,885: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:41:05,885: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:42:20,826: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:42:21,163: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:42:21,420: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:42:21,420: INFO: __init__: Data Preprocessing Started]
